Publisher,Venue,Year,Medium,Dataset,Approach,Arch,Comparisons,Technique,Data,Classes,Images,Cross Validation,Task,Img w/ aug,Preprocessing,Augmentation,Hyperparameters,Variables,Reference
Wiley Online Library,Marine Mammal Science,2022,Surface,National Marine Mammal Foundation,Custom ResNet + CNN + CNN + SANP,--,--,Sparse approximated nearest point,mammal,NS,17046,ns,"classification, object detection, segmentation",ns,"isolation, stardandization",ns,software,accuracy: 88.10%,finFindR: Automated recognition and identification of marine mammal dorsal fins using residual convolutional neural networks
MDPI,Machine learning & knowledge extraction,2022,Mixed,F4K (LCF-15),ResNet50 + CNN,"adam, CNN as classifier, layers, activation functions","ResNet50,PCANET-SVM , YOLOv3, ALexNet, AdvFish...","transfer learning (ResNet50 on ImageNet) , Knowledge distillation, and incremental learning",fish,15,44790,ns,classification,ns,ns,"rotation, rescaling, crop",--,ACC=.818,Live Fish Species Classification in Underwater Images by Using Convolutional Neural Networks Based on Incremental Learning with Knowledge Distillation Loss
IEEE,IEEE Access,2022,Mixed,Independent + search engine,DamNet (cnn),"layers, activation functions, softmax, SGD ","Alexnet, vgg19, googlenet, restnet50, efficientnet, coatnet, repvgg and alternet",new arch,mixed,7,5800,ns,classification,7984,image filtering,rotation,"image dimensions, learning rate = 0.01, batch, epochs, NVIDIA, pytorch, decay",ACC=.969; PPV=.967; TPR=.968; F1=.967,DAMNet: Dual attention mechanism deep neural network for underwater biological image classification
Springer,Journal of Big Data,2023,Mixed,Independent,"CNN-14, DNN-8","ADAM, layers, ReLU, classifier","CNN, DNN, LSVM, SVM_SGD, KNN, DT, RF",Two-phased cascade,fish,10,6972,10-fold,classification,35020,"Gamma Correction, CLAHE, color balance",ns,"image dimensions, epochs, hardware, Colab, batch",ACC=.794; AUC=.886,Deep learning based deep-sea automatic image enhancement and animal species classification
IEEE,IEEE Transactions on Intelligent Transportation Systems,2022,Seabed,UOT32 (Kaggle) and F4K,Custom ResNet-18,"layers, RelU, SGD, classifier","Inception, DenseNet, VGG, Other ResNet","IoT-based maritime video monitoring, dilated concept, fine-tune (imagenet)",fish,50,24241,ns,object detection,ns,ns,scale,"epochs, image size, learning rate = 0.001","mAP=.935, training curve",Reliable Object Recognition Using Deep Transfer Learning for Marine Transportation Systems With Underwater Surveillance
MDPI,Remote Sensing,2021,Surface,Semmacape + Kelonia,"Wide-ResNet50
+ MAF","ADAM, layers, activation functions, classifier","AnoVAEGAN, PaDiM, OrthoAD",trained on images without species (reverse enginner); ransfer learning (imagenet) + encoder decoder + sliding window,"birds, mammal, reptiles",2,2148,ns,object detection,ns,"downsampling, normalization of angles and scales ",na,"image dimensions, learning rate=0.001","f1, precision, recall",Weakly supervised detection of marine animals in high resolution aerial images
MDPI,Journal of Marine Science and Engineering,2020,Water-column,Independent,Custom YOLOv2,"SGDM, activation (Maxpool), Softmax, layers ","GoogleNet, VGG-16, VGG-19, YOLOv2",Heuristic Method,fish,7,5000,ns,object detection,ns,ns,ns,"software (MATLAB), hardware (Nivida), learning rate (0.0001), batzh size, momentum","RR:.950, learning curve",A study on enhancement of fish recognition using cumulative mean of YOLO network in underwater video images
MDPI,Water,2022,Water-column,NOAA,CME-YOLOv5,"layers, activation functions, SGD, CNN","YOLOv5, Faster R-CNN, YOLOv4, SSD",new arch,fish,ns,1500,ns,object detection,ns,ns,ns,"image dimensions, hardware(nvidia), software (PyTorch), momentum, batch, learning rate (0.01)","PPV:-923; TPR=.881; mAP=.949, learning curve",CME-YOLOv5: An efficient object detection network for densely spaced fish and small targets
Elsevier/ScienceDirect,Aquacultural Engineering,2021,Water-column,Independent,SegNet (auto encoder),"RMSprop, layers, activation functions, Softmax",ns,particle tracking velocimetry,tuna,binary,560,ns,segmentation,ns,ns,ns,"hardware (NVIDIA), software (MATLAB), image dimensions, epoch, batch, regularization",PPV=.842; TPR=.647; F1=.704,Development of fish spatio-temporal identifying technology using SegNet in aquaculture net cages
Elsevier/ScienceDirect,Computers and Electronics in Agriculture,2019,Water-column,Independent,"VGG-16, 3D Residual CNN","classifiers, layers, activation fucntions",2 other arch,Dual-Stream Recurrent Network,Salmon,2,326768,ns,classification,ns,"gray-scaling, equalizing the histograms, normalizing, removing specular reflections and dark areas from the frames by zeroing out all pixels above or below a threshold value.",ns,"software (TensorFlow), hardware (Nvidia), learning rate (0.0001, 0.001, 0.001), epochs, batch size","ACC=.833, training curve",A spatio-temporal recurrent network for salmon feeding action recognition from underwater videos in aquaculture
MDPI,Animals,2020,Water-column,Independent,CNN-19,"ADAM, ReLU, layers, max-pooling","CNN, MCNN",hybrid NN for counting fishes and generating density maps,Salmon,1,1501,ns,object detection,6004,color correction and contrast enhancement,gaussian noise and salt-and-pepper noise,"hardware (nvidia), software (tensorflow), epochs, learning rate (0.00001), batch",ACC=.951,Automatic fish population counting by machine vision and a hybrid deep neural network model
MDPI,Information,2024,Water-column,"Google, FishBase, iNaturalist, independts and spot the alien",ResNet18 ,"ReLU, layers, classifier","CNN, YOLOv8",T,fish,5,1337,"ResNet18, CNN, YOLOv8","classification, object detection",ns,resize and crop of backgorund without OOI,andom resize and random horizontal flip for 2 architectures and defauklt YOLO augmentation for YOLO,"image dimensions, tensorflow/ultralytics(pytorch)","ACC=0.91; F1: 0.908, confusion matrix",AquaVision: AI-Powered Marine Species Identification
Elsevier,Ecological Informatics,2023,Mixed,Independent,InceptionResNetV2,"SGD, 164 layers, bayesian optimizer, ReLU",--,siamese neural networks,stingray,1,1138,ns,classification,1138 * 2,crop of background without OOI,"affine transformations (scaling, translation, rotation, and shear); ii) pixel sum transformation; iii) hue, saturation, and contrast modifications; and iv) adding Gaussian noise to images","tensorflow, hardware, image dimensions, learning rate (10⁻5), momentum, batch size, epochs, cross-entropy loss function","ACC=0.7, confusion matrix",Re-identification of fish individuals of undulate skate via deep learning within a few-shot context
MDPI,Journal of Imaging,2022,Mixed,LCF-15 vs FRGT,ResNeXt 101,"all, RELU, SGD",--,Cascade fish families to specific fish and targeted data augmentation,fish,23,27370,other approach of ResNeXt 101,classification,"Not applicable, because dynamic augmnentation",image dimensions,"flip, crop, scale","hardware, pytorch, epochs, image dimensions, cross-entropy loss","ACC=0.99, training curves",Targeted Data Augmentation and Hierarchical Classification with Deep Learning for Fish Species Identification in Underwater Images
Cell Press,Heliyon,2024,Mixed,Fish4knowledge,R–FCN + ShuffleNetV2,all,5,cascade with Unsharp Mask Filter (UMF) pre-processing,fish,23,27230,diferrent image dimensions,"classification, object detection",ns,UMF,ns,"tensorflow, harwdware, image dimensions, Enhanced Northern Goshawk Optimization (ENGO) for hyperparameter tuning","ACC=0.99, F1=0.99",Enhanced deep learning models for automatic fish species identification in underwater imagery
Science and Information Organization,International Journal of Advanced Computer Science and Applications ,2024,Water-column,Independent,MobileNetV1,"SGD, layers, ReLU, softmax","InceptionV3, VGG16",Transfer learning,fish,51,5709,diferent oversmapling strategies,classification,8721,crop,"flipping, change in brightness, shearing and rotation","learning rate (0.001), momentum (0.8), decay (10⁻6), early stopping, image dimensions","ACC=0.99, F1=0.99",Automatic Recognition of Marine Creatures using Deep Learning
British Ecological Society,Methods in Ecology and Evolution,2023,Surface,39 catalogues,EfficientNet-B7,"AdamW, layers, Swish, softmax",39284 other models,human facial recognition for individual classification,cetaceans,24,"71,988",Optuna hyperparamter tweaking,object detection,ns,crop,"affine transformation, resize and crop, grayscale, gaussian blur, gaussian noise, grid shuffle, posterize, brightness and contrast, cutout, snow, rain and horizontal flip","softmax loss, epochs, learning rate (1.6^-3), decay, hardware, momentum","mAP=0.869, learning curves",A deep learning approach to photo–identification demonstrates high performance on two dozen cetacean species
MDPI,Journal of Marine Science and Engineering,2024,Mixed,KPM + Webfish + Webfish-small + Fish-pak + LargeFish,ResNet50 + Mas R-CNN,"AdamW, layers, ReLU, softmax","EfficientNet [44], EfficientNet V2 [45], RegNet [46], Swin Transformer (Swin_T, [35]), and ConvNeXt [47]",Cascade segmentation into classification,fish,4167,236932,Transfer learning or not,"classification, segmentation",ns,label smoothing,ns,"pythorch, hardware, learning rate(5*10^-4), decay, loss, epochs, image dimensions",MicroF1=0.73,Transferable Deep Learning Model for the Identification of Fish Species for Various Fishing Grounds
Frontiers,Frontiers in Marine Science,2022,Surface,Independent vs Independent,RetinaNet,"SGD, sigmoid, all",MobileNet V1,Live streaming model,mammal,10,510 videos,ns,object detection,"20,000 boxes","scale, crop and resize to mitigate size biases from drones, color normalization",over-sampling,"tensorflow, image dimensions, learning rate (0.001), hardware, focal loss","confusion matrix, learning curves,  mAP = 0.96",Assessing the ability of deep learning techniques to perform real-time identification of shark species in live streaming video from drones
IEEE,TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,Seabed,Independent KeXue,Custom YOLOv7,"LeakyReLU, classification head, layers, ","YOLOv7, YOLOv7 tiny, YOLOv8, SSD",deep-sea adaptive modules,mixed,19,29436,ablation studies for feature extractors,object detection,ns,trimming,Inverse Fourier transform,"loss function, image dimensions, hardware, learning rate (0.0001), epochs (300)","mAP=0.82, FPS = 53.32, Accuracy of feature extractor",DeepSeaNet: A Bio-Detection Network Enabling Species Identification in the Deep Sea Imagery
MDPI,Sustainability,2024,Mixed,BDFreshFish + fish-gres,ResNet50,"SGD, RELU, all","DenseNet121, EfficientNetB0, ResNet50, VGG16, and VGG19",Transfer learning,fish,13,2707,different classifiers and 5-fold,classification,ns,ns,ns,"epoch, image dimensions, Google Colab","ACC=0.98, F1=0.98, learning curves",A Deep CNN-Based Salinity and Freshwater Fish Identification and Classification Using Deep Learning and Machine Learning
Frontiers,Frontiers in Marine Science,2025,Seabed,WoRMS, CLIP_L14,"Adam, QuickGELU, all",EfficientNetV2,Class,decapods,553,1541,ns,classification,ns,ns,ns,"batch size, epochs, learning arte (1e-4), weight decay, momentum","learning curves, acc=0.77",Development of a multi-modal deep-learning-based web application for image classification of marine decapods in conservation practice
Wiley Online Library,Ecology and Evolution,2025,Seabed,Independent,YOLOv8,"SiLU, all, no optimizer",--,Transfer learning from COCO,mixed,17,72369,ns,object detection,ns,crop,ns,"batch size, epochs,image dimensions, Ultralytics","mAP=0.738, curves, confusion matrix",Applying Deep Learning to Quantify Drivers of Long-Term Ecological Change in a Swedish Marine Protected Area
Elsevier,Remote Sensing Applications: Society and Environment,2025,Surface,google erath + thermal + satellite + UKPolar + MASATIv2,Unet + ResNet101 + YOLOv8,"ReLU/SILU,all",many,Cascade and feature fusion for different types of input data,whale,1,1376,ns,"classification, object detection and segmentation",ns,"radiometric correction, Gaussian filtering, and contrast stretching"," Mixup augmentation, adaptive histogram","hardware , batch size, learning rate (0.0001), pytorch and tesnorflow, weigh decay, momentum, image dimensions, epochs","segmentation_ACC=0.98, detection_mAP=0.93, classification_ACC=0.98",Deep learning-based detection and tracking of fin whales using high-resolution space-borne remote sensing data
Zoological Society of London,Remote Sensing in Ecology and Conservation,2023,Surface,Satelite + Drone,YOLOv5,,--,"Transfer learning (COCO), feature fusion",whale,1,1097,10,object detection,yes,"pan-sharpened, resize","flip, rotation, blurring, altering brightness or contrast, and adding Gaussian noise","harware, epochs, batch size, hyperparameters, ultralytics","mAP=0.922, TPR=0.89, PPV=0.89, confusion matrix",Gray whale detection in satellite imagery using deep learning
Elsevier,Sustainable Computing: Informatics and Systems,2023,Surface,7,Custom YOLOv3 tiny ,LEaky RELU,many ,ESRGAN pre-processing and aerial +  satellite data,whale,10,6000,6 archs,object detection,11500,ESRGAN,"horizontal and vertical flip, grayscale, mosaic, cutout, bounding box crop, crop, shear, hue, exposure, brightness, saturation, and bounding box exposure","tensorflow, image dimensions, epochs, learning rate (0.001), weight decay",mAP=0.74,Deep learning based whale detection from satellite imagery
Frontiers,Frontiers in Marine Science,2025,Seabed,Roboflow public + IMEDEA + SUb-Eye Observatory + OBSEA + MINKA,YOLOv8l-seg,SGD,---,"SAM for labelling, tarnsfer learning",fish,17,15025,many,"object detection, segmentation","Not applicable, because dynamic augmnentation",SAM for labelling,YOLO default,"learning rate (0.01), image dimensions, weight decay, batch size, momentum, harwdware, Ultralytics","MAP=0.886, confusion matrix",Automatic deep learning-based pipeline for Mediterranean fish segmentation
Elsevier,Ecological Informatics,2025,Seabed,AIMECORAL1 + AIMECORAL2,YOLOv8 + DeepSORT,"2, no optmizer or activation funxctions",2 papers,MUlti stage Transfer learning with imagenet + datasets ,coral,1,622,3 ablation study,"object detection, tracking",862,resize,"resizing, rotation, and blurring",image dimensions,"mAP=0.847, F1",Deep learning for automated coral reef monitoring a novel system based on YOLOv8 detection and DeepSORT tracking
PLOS ONE,plos one,2024,Mixed,iNaturalist and Google,YOLOv5-seg,"SILU, SGD, all",YOLOv5,coco transfer learning,turtles,7,1627,seg vs detection,segmentation,NA,ns,"albumentation, mosaic","image dimensions, hardware, pytorch, early stopping, batch size","curves, mAP=0.831, confusion matrix",Deep learning-based image classification of sea turtles using object detection and instance segmentation models
IEEE,IEEE Access,2025,Mixed,web scraped,YOLOv9,"SGD, SILU","YOLOs, Resnet, VGG19, Inception",Pre-processing pipeline,mixed,20,8943,ablation study of pre-processing methods,object detection,ns," Gamma Correction, CLAHE, RGHS and UCM","flip, scale, rotation, hsv, mosaic, tarnslations","hardware, epoch, batch, learning rate (0.01), ultralytics","confusion matrix, F1=0.91, ACC=0.86",DeepSeaVision: Enhanced Detection and Classification of Underwater Species
Springer, Multimedia Tools and Applications,2026,Mixed,Mediterranean fish dataset + 2 datasets for test,YOLOv11,Adam,YOLOv9 and 3 other papers,SPD-Convo,fish,20,1548 with 18k objs,5 fold and 2 ablation,object detection,6360,"image enhancement (unsharp mask filtering), noise removal (bilateral filtering)","horizontal flipping, scaling, rotation, and random brightness","epochs, image dimensions, learnign rate (0.001), momentum, weight decay, batch, hardware, ultralytics","curves, F1=0.988, IoU, confusion matrix",Detection and multi-class classification of freshwater fish species using space-to-depth convolution and YOLOv11
